title,slug,link
A Trip to the Moon (1902),a-trip-to-the-moon,https://letterboxd.com/film/a-trip-to-the-moon/
The Great Train Robbery (1903),the-great-train-robbery,https://letterboxd.com/film/the-great-train-robbery/
The Birth of a Nation (1915),the-birth-of-a-nation,https://letterboxd.com/film/the-birth-of-a-nation/
"The Vampires or, The Arch Criminals of Paris (1915)",the-vampires-or-the-arch-criminals-of-paris,https://letterboxd.com/film/the-vampires-or-the-arch-criminals-of-paris/
Intolerance: Love's Struggle Throughout the Ages (1916),intolerance-loves-struggle-throughout-the-ages,https://letterboxd.com/film/intolerance-loves-struggle-throughout-the-ages/
Broken Blossoms (1919),broken-blossoms-1919,https://letterboxd.com/film/broken-blossoms-1919/
Within Our Gates (1920),within-our-gates,https://letterboxd.com/film/within-our-gates/
The Cabinet of Dr. Caligari (1920),the-cabinet-of-dr-caligari-1920,https://letterboxd.com/film/the-cabinet-of-dr-caligari-1920/
Way Down East (1920),way-down-east,https://letterboxd.com/film/way-down-east/
The Phantom Carriage (1921),the-phantom-carriage,https://letterboxd.com/film/the-phantom-carriage/
Orphans of the Storm (1921),orphans-of-the-storm,https://letterboxd.com/film/orphans-of-the-storm/
The Kid (1921),the-kid,https://letterboxd.com/film/the-kid/
Foolish Wives (1922),foolish-wives,https://letterboxd.com/film/foolish-wives/
Nosferatu (1922),nosferatu,https://letterboxd.com/film/nosferatu/
"Dr. Mabuse, the Gambler (1922)",dr-mabuse-the-gambler,https://letterboxd.com/film/dr-mabuse-the-gambler/
Nanook of the North (1922),nanook-of-the-north,https://letterboxd.com/film/nanook-of-the-north/
Häxan (1922),haxan,https://letterboxd.com/film/haxan/
La Roue (1923),la-roue,https://letterboxd.com/film/la-roue/
Our Hospitality (1923),our-hospitality,https://letterboxd.com/film/our-hospitality/
The Smiling Madame Beudet (1923),the-smiling-madame-beudet,https://letterboxd.com/film/the-smiling-madame-beudet/
The Thief of Bagdad (1924),the-thief-of-bagdad,https://letterboxd.com/film/the-thief-of-bagdad/
Sherlock Jr. (1924),sherlock-jr,https://letterboxd.com/film/sherlock-jr/
The Great White Silence (1924),the-great-white-silence,https://letterboxd.com/film/the-great-white-silence/
Greed (1924),greed,https://letterboxd.com/film/greed/
The Last Laugh (1924),the-last-laugh,https://letterboxd.com/film/the-last-laugh/
Seven Chances (1925),seven-chances,https://letterboxd.com/film/seven-chances/
The Phantom of the Opera (1925),the-phantom-of-the-opera,https://letterboxd.com/film/the-phantom-of-the-opera/
Strike (1925),strike,https://letterboxd.com/film/strike/
The Gold Rush (1925),the-gold-rush,https://letterboxd.com/film/the-gold-rush/
The Big Parade (1925),the-big-parade,https://letterboxd.com/film/the-big-parade/
