title,slug,link,match_title,match_year,seen
Le Million (1931),le-million,https://letterboxd.com/film/le-million/,le million,1931,False
The Story of a Cheat (1936),the-story-of-a-cheat,https://letterboxd.com/film/the-story-of-a-cheat/,the story of a cheat,1936,False
Camille (1936),camille-1936,https://letterboxd.com/film/camille-1936/,camille,1936,False
Make Way for Tomorrow (1937),make-way-for-tomorrow,https://letterboxd.com/film/make-way-for-tomorrow/,make way for tomorrow,1937,False
Captains Courageous (1937),captains-courageous,https://letterboxd.com/film/captains-courageous/,captains courageous,1937,False
Stella Dallas (1937),stella-dallas,https://letterboxd.com/film/stella-dallas/,stella dallas,1937,False
The Life of Emile Zola (1937),the-life-of-emile-zola,https://letterboxd.com/film/the-life-of-emile-zola/,the life of emile zola,1937,False
The Awful Truth (1937),the-awful-truth,https://letterboxd.com/film/the-awful-truth/,the awful truth,1937,False
Snow White and the Seven Dwarfs (1937),snow-white-and-the-seven-dwarfs,https://letterboxd.com/film/snow-white-and-the-seven-dwarfs/,snow white and the seven dwarfs,1937,False
Bringing Up Baby (1938),bringing-up-baby,https://letterboxd.com/film/bringing-up-baby/,bringing up baby,1938,False
Jezebel (1938),jezebel,https://letterboxd.com/film/jezebel/,jezebel,1938,False
Angels with Dirty Faces (1938),angels-with-dirty-faces,https://letterboxd.com/film/angels-with-dirty-faces/,angels with dirty faces,1938,False
Gunga Din (1939),gunga-din,https://letterboxd.com/film/gunga-din/,gunga din,1939,False
Wuthering Heights (1939),wuthering-heights,https://letterboxd.com/film/wuthering-heights/,wuthering heights,1939,False
Only Angels Have Wings (1939),only-angels-have-wings,https://letterboxd.com/film/only-angels-have-wings/,only angels have wings,1939,False
Babes in Arms (1939),babes-in-arms,https://letterboxd.com/film/babes-in-arms/,babes in arms,1939,False
The Story of the Last Chrysanthemum (1939),the-story-of-the-last-chrysanthemum,https://letterboxd.com/film/the-story-of-the-last-chrysanthemum/,the story of the last chrysanthemum,1939,False
Ninotchka (1939),ninotchka,https://letterboxd.com/film/ninotchka/,ninotchka,1939,False
The Mortal Storm (1940),the-mortal-storm,https://letterboxd.com/film/the-mortal-storm/,the mortal storm,1940,False
"Dance, Girl, Dance (1940)",dance-girl-dance,https://letterboxd.com/film/dance-girl-dance/,"dance, girl, dance",1940,False
The Bank Dick (1940),the-bank-dick,https://letterboxd.com/film/the-bank-dick/,the bank dick,1940,False
High Sierra (1941),high-sierra,https://letterboxd.com/film/high-sierra/,high sierra,1941,False
Sergeant York (1941),sergeant-york,https://letterboxd.com/film/sergeant-york/,sergeant york,1941,False
Dumbo (1941),dumbo,https://letterboxd.com/film/dumbo/,dumbo,1941,False
The Wolf Man (1941),the-wolf-man-1941,https://letterboxd.com/film/the-wolf-man-1941/,the wolf man,1941,False
Yankee Doodle Dandy (1942),yankee-doodle-dandy,https://letterboxd.com/film/yankee-doodle-dandy/,yankee doodle dandy,1942,False
