title,slug,link,match_title,match_year,seen
A Trip to the Moon (1902),a-trip-to-the-moon,https://letterboxd.com/film/a-trip-to-the-moon/,a trip to the moon,1902,True
The Great Train Robbery (1903),the-great-train-robbery,https://letterboxd.com/film/the-great-train-robbery/,the great train robbery,1903,True
The Birth of a Nation (1915),the-birth-of-a-nation,https://letterboxd.com/film/the-birth-of-a-nation/,the birth of a nation,1915,True
"The Vampires or, The Arch Criminals of Paris (1915)",the-vampires-or-the-arch-criminals-of-paris,https://letterboxd.com/film/the-vampires-or-the-arch-criminals-of-paris/,"the vampires or, the arch criminals of paris",1915,True
Intolerance: Love's Struggle Throughout the Ages (1916),intolerance-loves-struggle-throughout-the-ages,https://letterboxd.com/film/intolerance-loves-struggle-throughout-the-ages/,intolerance: love's struggle throughout the ages,1916,True
Broken Blossoms (1919),broken-blossoms-1919,https://letterboxd.com/film/broken-blossoms-1919/,broken blossoms,1919,True
Within Our Gates (1920),within-our-gates,https://letterboxd.com/film/within-our-gates/,within our gates,1920,True
The Cabinet of Dr. Caligari (1920),the-cabinet-of-dr-caligari-1920,https://letterboxd.com/film/the-cabinet-of-dr-caligari-1920/,the cabinet of dr. caligari,1920,True
Way Down East (1920),way-down-east,https://letterboxd.com/film/way-down-east/,way down east,1920,True
The Phantom Carriage (1921),the-phantom-carriage,https://letterboxd.com/film/the-phantom-carriage/,the phantom carriage,1921,True
Orphans of the Storm (1921),orphans-of-the-storm,https://letterboxd.com/film/orphans-of-the-storm/,orphans of the storm,1921,True
The Kid (1921),the-kid,https://letterboxd.com/film/the-kid/,the kid,1921,True
Foolish Wives (1922),foolish-wives,https://letterboxd.com/film/foolish-wives/,foolish wives,1922,True
Nosferatu (1922),nosferatu,https://letterboxd.com/film/nosferatu/,nosferatu,1922,True
"Dr. Mabuse, the Gambler (1922)",dr-mabuse-the-gambler,https://letterboxd.com/film/dr-mabuse-the-gambler/,"dr. mabuse, the gambler",1922,True
Nanook of the North (1922),nanook-of-the-north,https://letterboxd.com/film/nanook-of-the-north/,nanook of the north,1922,True
Häxan (1922),haxan,https://letterboxd.com/film/haxan/,häxan,1922,True
La Roue (1923),la-roue,https://letterboxd.com/film/la-roue/,la roue,1923,True
Our Hospitality (1923),our-hospitality,https://letterboxd.com/film/our-hospitality/,our hospitality,1923,True
The Smiling Madame Beudet (1923),the-smiling-madame-beudet,https://letterboxd.com/film/the-smiling-madame-beudet/,the smiling madame beudet,1923,True
The Thief of Bagdad (1924),the-thief-of-bagdad,https://letterboxd.com/film/the-thief-of-bagdad/,the thief of bagdad,1924,True
Sherlock Jr. (1924),sherlock-jr,https://letterboxd.com/film/sherlock-jr/,sherlock jr.,1924,True
The Great White Silence (1924),the-great-white-silence,https://letterboxd.com/film/the-great-white-silence/,the great white silence,1924,True
Greed (1924),greed,https://letterboxd.com/film/greed/,greed,1924,True
The Last Laugh (1924),the-last-laugh,https://letterboxd.com/film/the-last-laugh/,the last laugh,1924,True
Seven Chances (1925),seven-chances,https://letterboxd.com/film/seven-chances/,seven chances,1925,True
The Phantom of the Opera (1925),the-phantom-of-the-opera,https://letterboxd.com/film/the-phantom-of-the-opera/,the phantom of the opera,1925,True
Strike (1925),strike,https://letterboxd.com/film/strike/,strike,1925,True
The Gold Rush (1925),the-gold-rush,https://letterboxd.com/film/the-gold-rush/,the gold rush,1925,True
The Big Parade (1925),the-big-parade,https://letterboxd.com/film/the-big-parade/,the big parade,1925,True
The Eagle (1925),the-eagle-1925,https://letterboxd.com/film/the-eagle-1925/,the eagle,1925,True
Battleship Potemkin (1925),battleship-potemkin,https://letterboxd.com/film/battleship-potemkin/,battleship potemkin,1925,True
The Adventures of Prince Achmed (1926),the-adventures-of-prince-achmed,https://letterboxd.com/film/the-adventures-of-prince-achmed/,the adventures of prince achmed,1926,True
The General (1926),the-general,https://letterboxd.com/film/the-general/,the general,1926,True
Metropolis (1927),metropolis,https://letterboxd.com/film/metropolis/,metropolis,1927,True
The Kid Brother (1927),the-kid-brother,https://letterboxd.com/film/the-kid-brother/,the kid brother,1927,True
Napoleon (1927),napoleon,https://letterboxd.com/film/napoleon/,napoleon,1927,True
The Unknown (1927),the-unknown,https://letterboxd.com/film/the-unknown/,the unknown,1927,True
Sunrise: A Song of Two Humans (1927),sunrise-a-song-of-two-humans,https://letterboxd.com/film/sunrise-a-song-of-two-humans/,sunrise: a song of two humans,1927,True
The Jazz Singer (1927),the-jazz-singer,https://letterboxd.com/film/the-jazz-singer/,the jazz singer,1927,True
October (Ten Days that Shook the World) (1928),october-ten-days-that-shook-the-world,https://letterboxd.com/film/october-ten-days-that-shook-the-world/,october (ten days that shook the world),1928,True
The Crowd (1928),the-crowd,https://letterboxd.com/film/the-crowd/,the crowd,1928,True
"Steamboat Bill, Jr. (1928)",steamboat-bill-jr,https://letterboxd.com/film/steamboat-bill-jr/,"steamboat bill, jr.",1928,True
The Passion of Joan of Arc (1928),the-passion-of-joan-of-arc,https://letterboxd.com/film/the-passion-of-joan-of-arc/,the passion of joan of arc,1928,True
The Docks of New York (1928),the-docks-of-new-york,https://letterboxd.com/film/the-docks-of-new-york/,the docks of new york,1928,True
The Circus (1928),the-circus,https://letterboxd.com/film/the-circus/,the circus,1928,True
The Cameraman (1928),the-cameraman,https://letterboxd.com/film/the-cameraman/,the cameraman,1928,True
